index,spark.executor.memory,spark.serializer,spark.executor.instances,spark.executor.cores,spark.default.parallelism,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,datasize,workload,total_required_memory,total_required_cpu
424,20,org.apache.spark.serializer.KryoSerializer,4,6,360,40,320,gigantic,sort,80,24
430,20,org.apache.spark.serializer.JavaSerializer,4,6,480,40,80,large,sort,80,24
621,20,org.apache.spark.serializer.JavaSerializer,4,2,480,360,80,large,sort,80,8
789,8,org.apache.spark.serializer.JavaSerializer,10,2,480,40,640,tiny,sort,80,20
26,20,org.apache.spark.serializer.JavaSerializer,4,4,240,480,320,gigantic,terasort,80,16
33,20,org.apache.spark.serializer.KryoSerializer,4,4,360,20,160,small,terasort,80,16
236,20,org.apache.spark.serializer.JavaSerializer,4,2,80,80,320,small,terasort,80,8
244,20,org.apache.spark.serializer.JavaSerializer,4,4,40,240,320,small,terasort,80,16
482,8,org.apache.spark.serializer.JavaSerializer,10,2,20,80,80,large,terasort,80,20
488,8,org.apache.spark.serializer.JavaSerializer,10,2,240,20,320,bigdata,terasort,80,20
531,8,org.apache.spark.serializer.KryoSerializer,10,2,240,40,160,gigantic,terasort,80,20
584,20,org.apache.spark.serializer.JavaSerializer,4,6,80,80,640,huge,terasort,80,24
703,20,org.apache.spark.serializer.KryoSerializer,4,6,40,20,160,gigantic,terasort,80,24
779,20,org.apache.spark.serializer.KryoSerializer,4,4,240,40,80,huge,terasort,80,16
160,8,org.apache.spark.serializer.KryoSerializer,10,2,360,360,640,bigdata,wordcount,80,20
299,8,org.apache.spark.serializer.KryoSerializer,10,2,20,360,160,gigantic,wordcount,80,20
407,20,org.apache.spark.serializer.JavaSerializer,4,2,20,40,160,large,wordcount,80,8
987,20,org.apache.spark.serializer.JavaSerializer,4,4,40,240,320,large,wordcount,80,16
981,12,org.apache.spark.serializer.KryoSerializer,8,2,240,20,320,small,aggregation,96,16
432,12,org.apache.spark.serializer.JavaSerializer,8,2,480,360,320,small,join,96,16
52,12,org.apache.spark.serializer.JavaSerializer,8,2,80,20,160,large,scan,96,16
64,12,org.apache.spark.serializer.JavaSerializer,8,2,20,480,640,gigantic,scan,96,16
907,12,org.apache.spark.serializer.KryoSerializer,8,2,40,20,640,gigantic,scan,96,16
229,12,org.apache.spark.serializer.JavaSerializer,8,2,20,20,320,tiny,sort,96,16
325,12,org.apache.spark.serializer.KryoSerializer,8,2,240,240,320,small,terasort,96,16
474,12,org.apache.spark.serializer.KryoSerializer,8,2,360,480,640,huge,wordcount,96,16
909,12,org.apache.spark.serializer.KryoSerializer,8,2,80,240,80,large,wordcount,96,16
